A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  325
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  326
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  327
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  328
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  329
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  330
AA reads 0026.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0047.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  331
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  332
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  333
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:  334
AA reads 0026.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0048.  Therefore, state is: 0000
A5 reads 0003.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
