A9 reads 0062.  Therefore, state is: 0000
A8 reads 0100.  Therefore, state is: 0000
A7 reads 0205.  Therefore, state is: 0000
A6 reads 0207.  Therefore, state is: 0000
A5 reads 0248.  Therefore, state is: 0000
A4 reads 0248.  Therefore, state is: 0000
A3 reads 0247.  Therefore, state is: 0000
A2 reads 0353.  Therefore, state is: 0000
A1 reads 0354.  Therefore, state is: 0000
A0 reads 0320.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   50
A9 reads 0046.  Therefore, state is: 0000
A8 reads 0140.  Therefore, state is: 0000
A7 reads 0208.  Therefore, state is: 0000
A6 reads 0209.  Therefore, state is: 0000
A5 reads 0237.  Therefore, state is: 0000
A4 reads 0235.  Therefore, state is: 0000
A3 reads 0236.  Therefore, state is: 0000
A2 reads 0342.  Therefore, state is: 0000
A1 reads 0328.  Therefore, state is: 0000
A0 reads 0299.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   51
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0011.  Therefore, state is: 0000
A7 reads 0181.  Therefore, state is: 0000
A6 reads 0188.  Therefore, state is: 0000
A5 reads 0195.  Therefore, state is: 0000
A4 reads 0210.  Therefore, state is: 0000
A3 reads 0220.  Therefore, state is: 0000
A2 reads 0334.  Therefore, state is: 0000
A1 reads 0322.  Therefore, state is: 0000
A0 reads 0296.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   52
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0093.  Therefore, state is: 0000
A7 reads 0193.  Therefore, state is: 0000
A6 reads 0197.  Therefore, state is: 0000
A5 reads 0234.  Therefore, state is: 0000
A4 reads 0238.  Therefore, state is: 0000
A3 reads 0239.  Therefore, state is: 0000
A2 reads 0346.  Therefore, state is: 0000
A1 reads 0340.  Therefore, state is: 0000
A0 reads 0308.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   53
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0139.  Therefore, state is: 0000
A7 reads 0201.  Therefore, state is: 0000
A6 reads 0200.  Therefore, state is: 0000
A5 reads 0223.  Therefore, state is: 0000
A4 reads 0224.  Therefore, state is: 0000
A3 reads 0228.  Therefore, state is: 0000
A2 reads 0330.  Therefore, state is: 0000
A1 reads 0314.  Therefore, state is: 0000
A0 reads 0286.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   54
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0020.  Therefore, state is: 0000
A7 reads 0179.  Therefore, state is: 0000
A6 reads 0185.  Therefore, state is: 0000
A5 reads 0187.  Therefore, state is: 0000
A4 reads 0203.  Therefore, state is: 0000
A3 reads 0214.  Therefore, state is: 0000
A2 reads 0322.  Therefore, state is: 0000
A1 reads 0309.  Therefore, state is: 0000
A0 reads 0284.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   55
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0091.  Therefore, state is: 0000
A7 reads 0190.  Therefore, state is: 0000
A6 reads 0193.  Therefore, state is: 0000
A5 reads 0224.  Therefore, state is: 0000
A4 reads 0229.  Therefore, state is: 0000
A3 reads 0232.  Therefore, state is: 0000
A2 reads 0326.  Therefore, state is: 0000
A1 reads 0324.  Therefore, state is: 0000
A0 reads 0294.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   56
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0107.  Therefore, state is: 0000
A7 reads 0191.  Therefore, state is: 0000
A6 reads 0192.  Therefore, state is: 0000
A5 reads 0203.  Therefore, state is: 0000
A4 reads 0208.  Therefore, state is: 0000
A3 reads 0216.  Therefore, state is: 0000
A2 reads 0314.  Therefore, state is: 0000
A1 reads 0291.  Therefore, state is: 0000
A0 reads 0263.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   57
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0175.  Therefore, state is: 0000
A6 reads 0182.  Therefore, state is: 0000
A5 reads 0180.  Therefore, state is: 0000
A4 reads 0199.  Therefore, state is: 0000
A3 reads 0211.  Therefore, state is: 0000
A2 reads 0316.  Therefore, state is: 0000
A1 reads 0293.  Therefore, state is: 0000
A0 reads 0271.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   58
A9 reads 0063.  Therefore, state is: 0000
A8 reads 0134.  Therefore, state is: 0000
A7 reads 0197.  Therefore, state is: 0000
A6 reads 0195.  Therefore, state is: 0000
A5 reads 0211.  Therefore, state is: 0000
A4 reads 0218.  Therefore, state is: 0000
A3 reads 0224.  Therefore, state is: 0000
A2 reads 0325.  Therefore, state is: 0000
A1 reads 0298.  Therefore, state is: 0000
A0 reads 0271.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   59
A9 reads 0059.  Therefore, state is: 0000
A8 reads 0147.  Therefore, state is: 0000
A7 reads 0201.  Therefore, state is: 0000
A6 reads 0194.  Therefore, state is: 0000
A5 reads 0186.  Therefore, state is: 0000
A4 reads 0198.  Therefore, state is: 0000
A3 reads 0208.  Therefore, state is: 0000
A2 reads 0319.  Therefore, state is: 0000
A1 reads 0274.  Therefore, state is: 0000
A0 reads 0253.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   60
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0213.  Therefore, state is: 0000
A7 reads 0222.  Therefore, state is: 0000
A6 reads 0207.  Therefore, state is: 0000
A5 reads 0225.  Therefore, state is: 0000
A4 reads 0227.  Therefore, state is: 0000
A3 reads 0229.  Therefore, state is: 0000
A2 reads 0338.  Therefore, state is: 0000
A1 reads 0305.  Therefore, state is: 0000
A0 reads 0277.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   61
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0568.  Therefore, state is: 0000
A7 reads 0322.  Therefore, state is: 0000
A6 reads 0268.  Therefore, state is: 0000
A5 reads 0324.  Therefore, state is: 0000
A4 reads 0296.  Therefore, state is: 0000
A3 reads 0276.  Therefore, state is: 0000
A2 reads 0370.  Therefore, state is: 0000
A1 reads 0347.  Therefore, state is: 0000
A0 reads 0306.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   62
A9 reads 0045.  Therefore, state is: 0000
A8 reads 0556.  Therefore, state is: 0000
A7 reads 0378.  Therefore, state is: 0000
A6 reads 0310.  Therefore, state is: 0000
A5 reads 0370.  Therefore, state is: 0000
A4 reads 0321.  Therefore, state is: 0000
A3 reads 0291.  Therefore, state is: 0000
A2 reads 0386.  Therefore, state is: 0000
A1 reads 0365.  Therefore, state is: 0000
A0 reads 0319.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   63
A9 reads 0046.  Therefore, state is: 0000
A8 reads 0338.  Therefore, state is: 0000
A7 reads 0344.  Therefore, state is: 0000
A6 reads 0282.  Therefore, state is: 0000
A5 reads 0336.  Therefore, state is: 0000
A4 reads 0300.  Therefore, state is: 0000
A3 reads 0275.  Therefore, state is: 0000
A2 reads 0384.  Therefore, state is: 0000
A1 reads 0378.  Therefore, state is: 0000
A0 reads 0332.  Therefore, state is: 0000
