LOOPING
A0 reads 0826.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   22
LOOPING

A7 reads 0647.  Therefore, state is: 0x0005
A9 reads 0922.  Therefore, state is: 0x0001
A8 reads 0587.  Therefore, state is: 0x0002A4 reads 0574.  Therefore, state is: 0x002e
A3 reads 0534.  Therefore, state is: 0x005c
A2 reads 0477.  Therefore, state is: 0x00b8
A1 reads 0464.  Therefore, state is: 0x0170
A6 reads 0613.  Therefore, state is: 0x000b
A5 reads 0632.  Therefore, state is: 0x0017
A0 reads 0453.  Therefore, state is: 0x02e0
[MAIN] State is: 0x2e0, time is:   23
LOOPING
A9 reads 0442.  Therefore, state is: 0000
A8 reads 0284.  Therefore, state is: 0000
A7 reads 0292.  Therefore, state is: 0000
A6 reads 0383.  Therefore, state is: 0000
A5 reads 0436.  Therefore, state is: 0000
A4 reads 0470.  Therefore, state is: 0000
A3 reads 0470.  Therefore, state is: 0000
A2 reads 0501.  Therefore, state is: 0000
A1 reads 0529.  Therefore, state is: 0000
A0 reads 0553.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   24
LOOPING
A9 reads 1023.  Therefore, state is: 0x0001
A8 reads 0937.  Therefore, state is: 0x0003
A7 reads 0823.  Therefore, state is: 0x0007
A6 reads 0669.  Therefore, state is: 0x000f
A5 reads 0763.  Therefore, state is: 0x001f
A4 reads 0691.  Therefore, state is: 0x003f
A3 reads 0648.  Therefore, state is: 0x007f
A2 reads 0743.  Therefore, state is: 0x00ff
A1 reads 0746.  Therefore, state is: 0x01ff
A0 reads 0714.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   25
LOOPING
A9 reads 0926.  Therefore, state is: 0x0001
A8 reads 0869.  Therefore, state is: 0x0003
A7 reads 0852.  Therefore, state is: 0x0007
A6 reads 0740.  Therefore, state is: 0x000f
A5 reads 0754.  Therefore, state is: 0x001f
A4 reads 0677.  Therefore, state is: 0x003f
A3 reads 0621.  Therefore, state is: 0x007f
A2 reads 0633.  Therefore, state is: 0x00ff
A1 reads 0621.  Therefore, state is: 0x01ff
A0 reads 0622.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   26
LOOPING
A9 reads 0706.  Therefore, state is: 0x0001
A8 reads 0629.  Therefore, state is: 0x0003
A7 reads 0679.  Therefore, state is: 0x0007
A6 reads 0657.  Therefore, state is: 0x000f
A5 reads 0776.  Therefore, state is: 0x001f
A4 reads 0737.  Therefore, state is: 0x003f
A3 reads 0699.  Therefore, state is: 0x007f
A2 reads 0836.  Therefore, state is: 0x00ff
A1 reads 0894.  Therefore, state is: 0x01ff
A0 reads 0887.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:   27
LOOPING
A9 reads 0562.  Therefore, state is: 0000
A8 reads 0473.  Therefore, state is: 0000
A7 reads 0524.  Therefore, state is: 0000
A6 reads 0541.  Therefore, state is: 0000
A5 reads 0863.  Therefore, state is: 0x0001
A4 reads 0800.  Therefore, state is: 0x0003
A3 reads 0752.  Therefore, state is: 0x0007
A2 reads 0922.  Therefore, state is: 0x000f
A1 reads 0928.  Therefore, state is: 0x001f
A0 reads 0894.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:   28
LOOPING
