LOOPING
A9 reads 0515.  Therefore, state is: 0000
A8 reads 0868.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A6 reads 0911.  Therefore, state is: 0x0007
A5 reads 0950.  Therefore, state is: 0x000f
A4 reads 0884.  Therefore, state is: 0x001f
A3 reads 0821.  Therefore, state is: 0x003f
A2 reads 0750.  Therefore, state is: 0x007f
A1 reads 0776.  Therefore, state is: 0x00ff
A0 reads 0711.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   33
LOOPING
A9 reads 0502.  Therefore, state is: 0000
A8 reads 0850.  Therefore, state is: 0x0001
A7 reads 1017.  Therefore, state is: 0x0003
A6 reads 0911.  Therefore, state is: 0x0007
A5 reads 0958.  Therefore, state is: 0x000f
A4 reads 0891.  Therefore, state is: 0x001f
A3 reads 0828.  Therefore, state is: 0x003f
A2 reads 0758.  Therefore, state is: 0x007f
A1 reads 0775.  Therefore, state is: 0x00ff
A0 reads 0738.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   34
LOOPING
A9 reads 0508.  Therefore, state is: 0000
A8 reads 0828.  Therefore, state is: 0x0001
A7 reads 1017.  Therefore, state is: 0x0003
A6 reads 0912.  Therefore, state is: 0x0007
A5 reads 0995.  Therefore, state is: 0x000f
A4 reads 0915.  Therefore, state is: 0x001f
A3 reads 0845.  Therefore, state is: 0x003f
A2 reads 0755.  Therefore, state is: 0x007f
A1 reads 0764.  Therefore, state is: 0x00ff
A0 reads 0715.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   35
LOOPING
A9 reads 0488.  Therefore, state is: 0000
A8 reads 0824.  Therefore, state is: 0x0001
A7 reads 1011.  Therefore, state is: 0x0003
A6 reads 0911.  Therefore, state is: 0x0007
A5 reads 0957.  Therefore, state is: 0x000f
A4 reads 0890.  Therefore, state is: 0x001f
A3 reads 0827.  Therefore, state is: 0x003f
A2 reads 0730.  Therefore, state is: 0x007f
A1 reads 0743.  Therefore, state is: 0x00ff
A0 reads 0684.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   36
LOOPING
A9 reads 0478.  Therefore, state is: 0000
A8 reads 0811.  Therefore, state is: 0x0001
A7 reads 1012.  Therefore, state is: 0x0003
A6 reads 0912.  Therefore, state is: 0x0007
A5 reads 0967.  Therefore, state is: 0x000f
A4 reads 0900.  Therefore, state is: 0x001f
A3 reads 0836.  Therefore, state is: 0x003f
A2 reads 0747.  Therefore, state is: 0x007f
A1 reads 0749.  Therefore, state is: 0x00ff
A0 reads 0719.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   37
LOOPING
A9 reads 0492.  Therefore, state is: 0000
A8 reads 0800.  Therefore, state is: 0x0001
A7 reads 1014.  Therefore, state is: 0x0003
A6 reads 0914.  Therefore, state is: 0x0007
A5 reads 0997.  Therefore, state is: 0x000f
A4 reads 0917.  Therefore, state is: 0x001f
A3 reads 0845.  Therefore, state is: 0x003f
A2 reads 0732.  Therefore, state is: 0x007f
A1 reads 0731.  Therefore, state is: 0x00ff
A0 reads 0673.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   38
LOOPING
A9 reads 0471.  Therefore, state is: 0000
A8 reads 0821.  Therefore, state is: 0x0001
A7 reads 1017.  Therefore, state is: 0x0003
A6 reads 0911.  Therefore, state is: 0x0007
A5 reads 0959.  Therefore, state is: 0x000f
A4 reads 0893.  Therefore, state is: 0x001f
A3 reads 0831.  Therefore, state is: 0x003f
A2 reads 0720.  Therefore, state is: 0x007f
A1 reads 0720.  Therefore, state is: 0x00ff
A0 reads 0663.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   39
LOOPING
A9 reads 0471.  Therefore, state is: 0000
A8 reads 0825.  Therefore, state is: 0x0001
A7 reads 1018.  Therefore, state is: 0x0003
A6 reads 0913.  Therefore, state is: 0x0007
A5 reads 0989.  Therefore, state is: 0x000f
A4 reads 0918.  Therefore, state is: 0x001f
A3 reads 0851.  Therefore, state is: 0x003f
A2 reads 0747.  Therefore, state is: 0x007f
A1 reads 0734.  Therefore, state is: 0x00ff
A0 reads 0704.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   40
LOOPING
A9 reads 0481.  Therefore, state is: 0000
A8 reads 0837.  Therefore, state is: 0x0001
A7 reads 1012.  Therefore, state is: 0x0003
A6 reads 0912.  Therefore, state is: 0x0007
A5 reads 0981.  Therefore, state is: 0x000f
A4 reads 0907.  Therefore, state is: 0x001f
A3 reads 0840.  Therefore, state is: 0x003f
A2 reads 0723.  Therefore, state is: 0x007f
A1 reads 0709.  Therefore, state is: 0x00ff
A0 reads 0654.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   41
LOOPING
A9 reads 0463.  Therefore, state is: 0000
A8 reads 0863.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A6 reads 0912.  Therefore, state is: 0x0007
A5 reads 0962.  Therefore, state is: 0x000f
A4 reads 0895.  Therefore, state is: 0x001f
A3 reads 0833.  Therefore, state is: 0x003f
A2 reads 0719.  Therefore, state is: 0x007f
A1 reads 0705.  Therefore, state is: 0x00ff
A0 reads 0654.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   42
LOOPING
A9 reads 0476.  Therefore, state is: 0000
A8 reads 0879.  Therefore, state is: 0x0001
A7 reads 1017.  Therefore, state is: 0x0003
A6 reads 0913.  Therefore, state is: 0x0007
A5 reads 0985.  Therefore, state is: 0x000f
A4 reads 0914.  Therefore, state is: 0x001f
A3 reads 0848.  Therefore, state is: 0x003f
A2 reads 0736.  Therefore, state is: 0x007f
A1 reads 0713.  Therefore, state is: 0x00ff
A0 reads 0680.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   43
LOOPING
A9 reads 0457.  Therefore, state is: 0000
A8 reads 0862.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A6 reads 0913.  Therefore, state is: 0x0007
A5 reads 0987.  Therefore, state is: 0x000f
A4 reads 0911.  Therefore, state is: 0x001f
A3 reads 0846.  Therefore, state is: 0x003f
A2 reads 0735.  Therefore, state is: 0x007f
A1 reads 0711.  Therefore, state is: 0x00ff
A0 reads 0652.  Therefore, state is: 0x01ff
[MAIN] State is: 0x1ff, time is:   44
LOOPING
A9 reads 0430.  Therefore, state is: 0000
A8 reads 0904.  Therefore, state is: 0x0001
A7 reads 1016.  Therefore, state is: 0x0003
A6 reads 0916.  Therefore, state is: 0x0007
A5 reads 0979.  Therefore, state is: 0x000f
A4 reads 0919.  Therefore, state is: 0x001f
A3 reads 0863.  Therefore, state is: 0x003f
A2 reads 0836.  Therefore, state is: 0x007f
A1 reads 0826.  Therefore, state is: 0x00ff
A0 reads 0776.  Therefore, state is: 0x01ff
