A0 reads 0972.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   34
A9 reads 0320.  Therefore, state is: 0000
A8 reads 0357.  Therefore, state is: 0000
A7 reads 0372.  Therefore, state is: 0000
A6 reads 0364.  Therefore, state is: 0000
A5 reads 0454.  Therefore, state is: 0000
A4 reads 0455.  Therefore, state is: 0000
A3 reads 0447.  Therefore, state is: 0000
A2 reads 0745.  Therefore, state is: 0x0001
A1 reads 0982.  Therefore, state is: 0x0003
A0 reads 0952.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   35
A9 reads 0291.  Therefore, state is: 0000
A8 reads 0350.  Therefore, state is: 0000
A7 reads 0369.  Therefore, state is: 0000
A6 reads 0362.  Therefore, state is: 0000
A5 reads 0480.  Therefore, state is: 0000
A2 reads 0756.  Therefore, state is: 0x0001
A1 reads 0989.  Therefore, state is: 0x0003
A4 reads 0471.  Therefore, state is: 0000
A3 reads 0457.  Therefore, state is: 0000
A0 reads 0984.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   36
A9 reads 0340.  Therefore, state is: 0000
A8 reads 0403.  Therefore, state is: 0000
A7 reads 0381.  Therefore, state is: 0000
A6 reads 0365.  Therefore, state is: 0000
A5 reads 0497.  Therefore, state is: 0000
A4 reads 0486.  Therefore, state is: 0000
A3 reads 0478.  Therefore, state is: 0000
A2 reads 0927.  Therefore, state is: 0x0001
A1 reads 1003.  Therefore, state is: 0x0003
A0 reads 0975.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   37
A9 reads 0318.  Therefore, state is: 0000
A8 reads 0371.  Therefore, state is: 0000
A7 reads 0369.  Therefore, state is: 0000
A6 reads 0355.  Therefore, state is: 0000
A5 reads 0445.  Therefore, state is: 0000
A4 reads 0440.  Therefore, state is: 0000
A3 reads 0440.  Therefore, state is: 0000
A2 reads 0905.  Therefore, state is: 0x0001
A1 reads 1004.  Therefore, state is: 0x0003
A0 reads 0964.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   38
A9 reads 0289.  Therefore, state is: 0000
A8 reads 0373.  Therefore, state is: 0000
A7 reads 0373.  Therefore, state is: 0000
A6 reads 0366.  Therefore, state is: 0000
A5 reads 0468.  Therefore, state is: 0000
A4 reads 0454.  Therefore, state is: 0000
A3 reads 0444.  Therefore, state is: 0000
A2 reads 0905.  Therefore, state is: 0x0001
A1 reads 1005.  Therefore, state is: 0x0003
A0 reads 0984.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   39
A9 reads 0341.  Therefore, state is: 0000
A8 reads 0474.  Therefore, state is: 0000
A7 reads 0399.  Therefore, state is: 0000
A6 reads 0382.  Therefore, state is: 0000
A5 reads 0488.  Therefore, state is: 0000
A4 reads 0471.  Therefore, state is: 0000
A3 reads 0449.  Therefore, state is: 0000
A2 reads 0862.  Therefore, state is: 0x0001
A1 reads 0997.  Therefore, state is: 0x0003
A0 reads 0973.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   40
A9 reads 0320.  Therefore, state is: 0000
A8 reads 0479.  Therefore, state is: 0000
A7 reads 0406.  Therefore, state is: 0000
A6 reads 0394.  Therefore, state is: 0000
A5 reads 0441.  Therefore, state is: 0000
A4 reads 0438.  Therefore, state is: 0000
A3 reads 0436.  Therefore, state is: 0000
A2 reads 0933.  Therefore, state is: 0x0001
A1 reads 1011.  Therefore, state is: 0x0003
A0 reads 0965.  Therefore, state is: 0x0007
[MAIN] State is:  0x7, time is:   41
A9 reads 0293.  Therefore, state is: 0000
A8 reads 0440.  Therefore, state is: 0000
A7 reads 0413.  Therefore, state is: 0000
A6 reads 0399.  Therefore, state is: 0000
A5 reads 0470.  Therefore, state is: 0000
